name,Unnamed: 0,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,pass_yd_p25,pass_yd_p75,rush_yd_p25,rush_yd_p75,rec_yd_p25,rec_yd_p75,pass_td_p25,pass_td_p75,rush_td_p25,rush_td_p75,rec_td_p25,rec_td_p75
Jalen Hurts,25,12.380476874676097,18.313107143754213,136.962184480557,1.0706529945355132,0.037453839302658,1.96027003667706,8.583750823299052,44.37249995089415,0.6426650513042371,0.0,0.0,0.0,0.0,0.5254880397716356,8,PHI,68.91217680012227,123.1834594003611,21.969314731851334,40.00417076073834,0.0,0.0,0.5221173435278721,0.9636726952393608,0.321873953883424,0.5808349088899278,0.0,0.0
Jameis Winston,26,22.79543260241549,37.30432977750749,254.4440956305788,1.3691430836783132,2.2713653105129503,3.5766488200808864,2.8115014482405773,10.54685930878122,0.118654369507695,0.0,0.0,0.0,0.0,0.7474356991907634,6,NYG,125.8777007936319,229.77947918820365,5.296437502082186,9.536282334973379,0.0,0.0,0.6751503627854383,1.235567132710889,0.05843917383456078,0.10674516436000336,0.0,0.0
James Cook,27,0.0,0.0,0.0,0.0,0.0,0.0,12.5973558681725,72.08725299206421,1.068300222890937,1.588696817225825,1.4765115617486937,13.46359716660487,0.2309658326931482,0.2309658326931482,8,BUF,0.0,0.0,35.31683942419717,64.85312984378763,6.823788062242944,12.18233589839187,0.0,0.0,0.5401132603621803,0.9703204317311126,0.11568691204288224,0.20867585521707926
Jared Goff,28,26.94882468442728,37.74441099368567,328.9328191483131,3.0486706398739107,0.2359530048272686,1.6615363894771604,2.299013798304351,2.448133490770073,0.0,0.0,0.0,0.0,0.0,0.2057226510098496,9,DET,162.06523677866772,293.0499498638955,1.2117810476262945,2.2114095744426674,0.0,0.0,1.5104896006083492,2.725826843047423,0.0,0.0,0.0,0.0
Jayden Daniels,29,23.848575893566675,34.98563795645884,232.9189187575605,3.070705085536322,1.0833622500001585,3.982213403961188,11.400986422361278,84.45476368057497,0.1429256090255871,0.0,0.0,0.0,0.0,0.2556532502378448,8,TXSO,185.15206222021777,278.5375116344349,66.95937811997118,101.28486397952403,0.0,0.0,2.4391165032746733,3.69200937226185,0.11363972016842272,0.17198257527036293,0.0,0.0
Joe Flacco,30,25.49431672642839,37.22702699611197,318.17423544518965,1.8988633452856776,2.0216721402959266,2.1950492626633364,0.978327859704074,0.8266228776325902,0.0,0.0,0.0,0.0,0.0,1.0,3,CLE,158.1781461889941,285.6144062837809,0.4157315800529934,0.7433313718975482,0.0,0.0,0.9434403650410592,1.714756525938583,0.0,0.0,0.0,0.0
Jonathan Taylor,31,0.0,0.0,0.0,0.0,0.0,0.0,26.694145800739893,132.29943216580315,1.4356640542051282,2.126552956494326,1.1154064922920544,5.702951180093267,0.08407388766211,0.3145049716013219,8,IND,0.0,0.0,66.47047736802688,119.21565909278497,2.8644482981962964,5.151366558573933,0.0,0.0,0.7182874623329971,1.2982227422331185,0.0415489006032537,0.07636864187427425
Jordan Love,32,17.390959396037374,27.122608748552096,203.72271026542964,1.2697034774643738,0.0562486332881155,1.2182991149327134,1.4033872381662076,6.322166073562896,0.0377507605960507,0.0,0.0,0.0,0.0,0.0554936180761945,8,GB,162.803310915915,245.17890811984094,5.0383214271674905,7.589183613399474,0.0,0.0,1.0134042439988422,1.525675277064972,0.029858810944781513,0.04518627754569816,0.0,0.0
Josh Allen,33,18.33433764976249,29.93780492336073,226.82538223500757,1.8080642288000857,0.3431510881702794,0.304332660669542,6.90463066070571,37.865114729588285,1.1380357367559792,0.0,0.0,0.5545489642962489,0.0792212806137498,0.0,8,BUF,113.0367932437361,204.6256726968872,18.9263877372219,34.320074399357274,0.27935998593697653,0.5014548028551941,0.9066934768677404,1.6385301211140857,0.5669988939105689,1.0223863255994816,0.0394042234874708,0.07103896847852972
Josh Jacobs,34,0.0,0.0,0.0,0.0,0.0,0.0,18.22988209010433,73.3380472877202,1.3094824963348477,2.1337171254060534,2.02353883412358,23.27008946261876,0.0,0.4781054942083279,8,GB,0.0,0.0,58.23923282355558,88.28832575780969,18.57859831678471,27.8771562620237,0.0,0.0,1.0425520346138915,1.5749729777259662,0.0,0.0
Justin Herbert,35,22.244045691942706,32.82679696478576,245.41775889944915,1.9244427004270523,0.3720120271425852,1.9860334305450773,4.172523700612711,16.014632783598657,0.0782864298224898,0.0,0.0,0.0,0.0,0.0893200877169346,9,LAC,195.31807927832367,294.17123971217495,12.80046604091014,19.184633157289287,0.0,0.0,1.5264615855791388,2.3209580101588276,0.06235515983605428,0.09391293420115618,0.0,0.0
Kareem Hunt,36,0.0,0.0,0.0,0.0,0.0,0.0,10.476159567037522,36.61357675524551,0.5494673942884294,1.8559558145497037,1.2040491595949758,10.128570642165691,0.0,0.0,9,KC,0.0,0.0,29.22647974940278,43.78896223879282,7.992997880680052,12.144708943330933,0.0,0.0,0.4392176828787572,0.6614048736387235,0.0,0.0
Kenny Pickett,37,10.193861048593376,16.38859226682112,124.85066531420884,0.8716052194386626,0.3588962668276846,1.0766888004830537,2.8293814325426525,6.073660126158191,0.512708952610978,0.0,0.0,0.0,0.0,0.3588962668276846,4,LV,100.8018315598574,149.8765136718687,4.844389589817913,7.282741725924633,0.0,0.0,0.6980556848371383,1.0450950634536986,0.4077691288914746,0.6174729562627019,0.0,0.0
Kyler Murray,38,26.250722320037987,38.39011308004388,260.3252615041188,0.8790337012992304,1.3093295648888914,2.6359279887206304,5.016986187312581,33.13373874893741,0.2806427271832778,0.0,0.0,0.0,0.0,0.3505491421218178,8,ARI,130.35964887068855,233.92430975367688,16.549400078578728,29.942031409795703,0.0,0.0,0.43716165414985664,0.78725805194495,0.14050695555856244,0.2514392251446943,0.0,0.0
Mac Jones,39,21.36958820098851,32.080895271953715,218.02820954791576,1.3992786594397846,0.6553279194839949,1.475802034863706,3.483353403832285,13.508436588799318,0.0276997775354795,0.0,0.0,0.0,0.0,0.0276997775354795,7,SF,174.54097114569578,261.6483277311683,10.750119228310622,16.304376381010222,0.0,0.0,1.1194278539107525,1.6901471245283264,0.021905640066099866,0.03320785715904119,0.0,0.0
Mason Rudolph,40,20.707406138739668,30.89557796462979,216.06831685358063,1.5550904787800826,1.622873329707884,1.671813377042075,4.008898190424398,14.706623120227796,0.0,0.0,0.0,0.0,0.0,0.4705576697482983,4,PIT,107.75229418550896,195.79499791947148,7.36990313281674,13.330962654160608,0.0,0.0,0.767419506026487,1.3957905601060874,0.0,0.0,0.0,0.0
Matthew Stafford,41,17.54343066133944,28.177332993945825,192.2441494176491,0.8716435679866092,0.2625974471828187,0.5158047418409876,3.68856749613188,7.897080690637265,0.0,0.0,0.0,0.0,0.0,0.1220532728037878,9,LAR,97.0732831751412,174.0154645334686,3.9045657622905745,7.111534331690451,0.0,0.0,0.4352810837078917,0.7871168500219902,0.0,0.0,0.0,0.0
Patrick Mahomes,42,26.22665088472854,39.12441112254563,260.20911080838084,1.9930951785487512,0.0735577192962991,1.4271373101487808,2.6681418225264983,19.04425345659586,0.2188306042015207,0.0,0.0,0.0,0.0,0.1276001253099067,9,KC,207.91256753920953,312.0999629378938,15.225968072926712,23.018176043445433,0.0,0.0,1.5773446012365253,2.3970046031530488,0.17467709458020736,0.2640782232063872,0.0,0.0
Rhamondre Stevenson,43,0.0,0.0,0.0,0.0,0.0,0.0,9.458892265216692,39.262671290872895,0.2652995155358652,1.4313326732616896,0.96346726609446,9.210019964449389,0.0201861404276726,0.3703834677247365,8,NE,0.0,0.0,31.62004216026445,47.38498959017484,7.360885533953443,11.043339487568234,0.0,0.0,0.21204774874365107,0.31843611969622165,0.01603091990515422,0.024349085148618416
Rico Dowdle,44,0.0,0.0,0.0,0.0,0.0,0.0,19.337137565836716,91.08691684000316,0.0750588972411216,1.9356210803785092,1.7000358641477225,10.780731362578049,0.0180216412275932,0.3651563769281004,9,CAR,0.0,0.0,45.189366939499635,81.80458427099938,5.382602997144987,9.73145650776205,0.0,0.0,0.03726498410602912,0.06747935196889329,0.008991079233772797,0.016182032663504892
