,team,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,targets,rec,rec_yd,rec_td,off_fum,def_pass_cmp,def_pass_att,def_pass_yd,def_pass_td,def_int,def_sacks,def_rush_att,def_rush_yd,def_rush_td,def_targets,def_rec,def_rec_yd,def_rec_td,def_fum,opps,games,next_op,next_game_location,next_game_week
26,IND,17.123232323232322,27.71590909090909,213.46919191919193,0.9825757575757577,0.9873737373737373,0.9671717171717172,30.859343434343437,148.49671717171717,1.5866161616161616,26.853535353535353,17.123232323232322,213.46919191919193,0.9825757575757577,0.9671717171717172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['MIA', 'Denver Broncos', 'TEN', 'Indianapolis Colts', 'Indianapolis Colts', 'New England Patriots', 'Indianapolis Colts', 'Tennessee Titans', 'Indianapolis Colts']",9.0,ARI,HOME,6.0
27,Indianapolis Colts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.251803751803752,28.648593073593073,223.5403318903319,1.4686507936507938,0.9040404040404041,1.3373737373737375,23.969805194805197,90.16569264069264,0.880988455988456,27.27113997113997,18.251803751803752,223.5403318903319,1.4686507936507938,1.198917748917749,,,,BYE,
28,JAX,20.792424242424243,32.98459595959596,211.2378787878788,1.244949494949495,0.9742424242424241,0.9547979797979798,25.468939393939394,108.65176767676768,0.5643939393939394,31.470454545454544,20.792424242424243,211.23787878787877,1.244949494949495,0.5886363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['CAR', 'Jacksonville Jaguars', 'HOU', 'San Francisco 49ers', 'Jacksonville Jaguars', 'Tennessee Titans', 'Jacksonville Jaguars', 'Jacksonville Jaguars', 'Tennessee Titans']",9.0,SEA,HOME,6.0
29,Jacksonville Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.969949494949496,34.05656565656565,236.72954545454547,1.5853535353535353,0.85,1.3242424242424242,21.14242424242424,86.45934343434344,0.6631313131313131,32.55959595959596,20.969949494949496,236.72954545454547,1.5853535353535353,0.49772727272727274,,,,BYE,
30,KAN,23.018181818181816,36.345454545454544,236.5,1.6818181818181819,0.09999999999999999,2.0363636363636366,24.01818181818182,103.57272727272726,0.6636363636363636,35.39090909090909,23.018181818181816,236.5,1.6818181818181819,0.4909090909090909,7.9393939393939394,12.335353535353535,84.63131313131312,0.47272727272727266,0.09999999999999999,0.8949494949494949,10.35050505050505,43.637373737373736,0.4222222222222222,12.124242424242425,7.9393939393939394,84.63131313131314,0.47272727272727266,0.302020202020202,"['KAN', 'KAN', 'NYG', 'BAL', 'Carolina Panthers', 'Las Vegas Raiders', 'Los Angeles Chargers', 'Cleveland Browns', 'Houston Texans', 'Pittsburgh Steelers']",10.0,DET,HOME,6.0
31,LAC,20.5766317016317,31.517773892773892,221.0205128205128,1.3944055944055944,0.47424242424242424,2.6421911421911424,20.773543123543124,87.08735431235431,0.6996503496503497,30.669289044289044,20.5766317016317,221.02051282051283,1.3944055944055944,1.034149184149184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['KAN', 'Las Vegas Raiders', 'Denver Broncos', 'Los Angeles Chargers', 'Los Angeles Chargers', 'Atlanta Falcons', 'Los Angeles Chargers', 'Los Angeles Chargers', 'Denver Broncos', 'New England Patriots']",10.0,MIA,AWAY,6.0
32,LAR,20.844444444444445,31.711111111111112,241.76666666666668,1.5555555555555556,0.32222222222222224,1.511111111111111,30.211111111111112,127.22222222222223,1.0666666666666667,30.48888888888889,20.844444444444445,241.76666666666665,1.5555555555555556,0.8111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['HOU', 'TEN', 'Los Angeles Rams', 'Indianapolis Colts', 'Los Angeles Rams', 'New Orleans Saints', 'Buffalo Bills', 'San Francisco 49ers', 'New York Jets', 'Arizona Cardinals']",10.0,BAL,AWAY,6.0
33,LVR,24.673737373737374,39.86818181818182,274.3130230880231,1.3321789321789321,1.286147186147186,3.048989898989899,28.791450216450215,119.19455266955266,0.6039682539682539,37.77507215007215,24.673737373737374,274.3130230880231,1.3321789321789321,0.8802308802308803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['NWE', 'Las Vegas Raiders', 'Las Vegas Raiders', 'Las Vegas Raiders', 'Las Vegas Raiders', 'Las Vegas Raiders', 'Las Vegas Raiders', 'Las Vegas Raiders', 'Jacksonville Jaguars', 'New Orleans Saints']",10.0,TEN,HOME,6.0
34,Las Vegas Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.17424242424242,52.09747474747475,362.842316017316,2.2667748917748916,1.6861471861471862,4.2287878787878785,39.96922799422799,178.51349206349207,0.8039682539682539,49.18163780663781,32.17424242424242,362.842316017316,2.2667748917748916,1.8302308802308802,,,,BYE,
35,Los Angeles Chargers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.336868686868687,24.750505050505048,163.65707070707072,1.261111111111111,0.4111111111111111,2.3025252525252524,21.82929292929293,109.6010101010101,0.6984848484848485,23.733838383838386,16.336868686868687,163.65707070707072,1.261111111111111,0.6075757575757575,,,,BYE,
