player,team,included,reason,snap_pct_weighted,snap_pct_recent,trend,games_analyzed
Kyler Murray,ARI,True,included,68.08156978265882,64.8489949258392,-5.852590281151279,10
Kyren Williams,LAR,True,included,34.44628696528981,38.229819563152894,5.493388163199484,10
Ladd McConkey,LAC,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Lamar Jackson,BAL,True,included,48.54114724202713,46.49427530575071,-9.35683802093589,9
LeQuint Allen,JAX,False,snap_pct_too_low_0.8%,0.7756550728452065,0.966183574879227,-0.6211180124223602,4
Lucas Krull,DEN,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Luke Farrell,SFO,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Luke McCaffrey,WAS,False,missing_snap_data_no_touches,0.0,0.0,0.0,7
Luke Musgrave,GNB,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Luke Schoonmaker,DAL,False,missing_snap_data_no_touches,0.0,0.0,0.0,8
Luther Burden,CHI,False,snap_pct_too_low_0.5%,0.48482833613841153,0.5847953216374269,0.5847953216374269,4
Mac Jones,SFO,True,included,59.43303855772879,60.858585858585855,0.6117899273991156,7
Mack Hollins,NWE,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Malik Heath,GNB,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Malik Washington,MIA,False,recent_snap_pct_too_low_0.6%,1.0220366760839765,0.6289308176100629,0.1080974842767295,10
Mark Andrews,BAL,False,snap_pct_too_low_0.7%,0.695134327729864,0.546448087431694,-0.5087197424121078,9
Marquez Valdes-Scantling,SFO,False,snap_pct_too_low_0.5%,0.4958344241690665,0.6944444444444443,0.6944444444444443,6
Marquise Brown,KAN,False,missing_snap_data_no_touches,0.0,0.0,0.0,6
Marvin Harrison Jr.,ARI,False,missing_snap_data_no_touches,0.0,0.0,0.0,10
Marvin Mims,DEN,False,recent_snap_pct_too_low_1.7%,1.6290502526616346,1.6767162866654106,-0.3280651340996166,9
Mason Rudolph,PIT,True,included,50.99837877719027,56.87451209992194,53.30308352849337,4
Mason Taylor,NYJ,False,missing_snap_data_no_touches,0.0,0.0,0.0,4
Matthew Golden,GNB,False,recent_snap_pct_too_low_3.3%,2.620848266522093,3.305960887928101,3.305960887928101,4
Matthew Stafford,LAR,True,included,55.89675893066696,54.02089268755935,-0.31756526725080647,10
Michael Mayer,LVR,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Michael Penix,ATL,True,included,54.60004137175889,53.034819586543726,-1.2364646847405396,6
Michael Pittman Jr.,IND,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Michael Wilson,ARI,False,snap_pct_too_low_0.4%,0.4410294180391212,0.4761904761904762,0.4761904761904762,10
Mike Gesicki,CIN,False,missing_snap_data_no_touches,0.0,0.0,0.0,9
Miles Sanders,DAL,False,recent_snap_pct_too_low_7.7%,7.199017261196496,7.708818958818959,0.5659618159618169,4
Mitchell Evans,CAR,False,missing_snap_data_no_touches,0.0,0.0,0.0,3
Mitchell Tinsley,CIN,False,missing_snap_data_no_touches,0.0,0.0,0.0,3
Mitchell Trubisky,BUF,False,recent_snap_pct_too_low_7.0%,6.661511268228017,6.970046082949309,0.0,3
Mo Alie-Cox,IND,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Nate Adkins,DEN,False,missing_snap_data_no_touches,0.0,0.0,0.0,5
Nick Chubb,HOU,False,declining_snap_pct_-9.8%,18.799492498709366,14.713804713804715,-9.773339071584681,8
