player,team,pos,year,active
Bryce Oliver,TEN,WR,2022,True
Chigoziem Okonkwo,TEN,TE,2022,True
Chris Moore,TEN,WR,2022,True
Colton Dowell,TEN,WR,2022,True
David Martin-Robinson,TEN,TE,2022,True
JC Latham,TEN,T,2022,True
Jha'Quan Jackson,TEN,WR,2022,True
Josh Whyle,TEN,TE,2022,True
Julius Chestnut,TEN,RB,2022,True
Kyle Philips,TEN,WR,2022,True
Mason Kinsey,TEN,WR,2022,True
Mason Rudolph,TEN,QB,2022,True
Nick Vannett,TEN,TE,2022,True
Nick Westbrook-Ikhine,TEN,WR,2022,True
Ryan Tannehill,TEN,QB,2022,True
Tay Martin,TEN,WR,2022,True
Trevon Wesco,TEN,TE,2022,True
Treylon Burks,TEN,WR,2022,True
Tyjae Spears,TEN,RB,2022,True
Will Levis,TEN,QB,2022,True
Alex Armah,WAS,RB,2022,True
Ben Sinnott,WAS,TE,2022,True
Brian Robinson Jr.,WAS,RB,2022,True
Brycen Tremayne,WAS,WR,2022,True
Byron Pringle,WAS,WR,2022,True
Chris Rodriguez,WAS,RB,2022,True
Cole Turner,WAS,TE,2022,True
Dyami Brown,WAS,WR,2022,True
Jamison Crowder,WAS,WR,2022,True
Jayden Daniels,WAS,QB,2022,True
Jeremy McNichols,WAS,RB,2022,True
John Bates,WAS,TE,2022,True
Logan Thomas,WAS,TE,2022,True
Luke McCaffrey,WAS,WR,2022,True
Marcus Mariota,WAS,QB,2022,True
Terry McLaurin,WAS,WR,2022,True
Trenton Scott,WAS,T,2022,True
