,name,pass_cmp,pass_att,pass_yd,pass_td,pass_int,sacks,rush_att,rush_yd,rush_td,tar,rec,rec_yd,rec_td,fum,g,team,week
32,Jayden Daniels,16.297697906764277,26.351816569261324,196.00491745542132,1.754392970685924,0.3379612202406864,2.4123850291230315,8.912030084503824,44.862870474522836,0.3764954044027818,0.0,0.0,0.0,0.0,0.918781918153252,8,WAS,11
33,Joe Flacco,27.08996081093605,43.29872302199181,259.2238157347164,1.8295400002708238,0.5635906939768893,1.8653426390496617,2.457297793395852,1.806674916347415,0.0,0.0,0.0,0.0,0.0,0.22383459429076177,7,CIN,11
34,Jonathan Taylor,0.0,0.0,0.0,0.0,0.0,0.0,18.664333601345927,100.72386548707028,1.9226972267888802,3.5609720714566775,3.272268240708904,24.990603101783655,0.051886670002884556,0.01245798946769258,10,IND,11
35,Jordan Love,20.23322912486764,29.435838428683002,227.70184881728272,1.3681368547129078,0.34195714291830925,1.3919459530701077,4.3383608817495976,20.873197952285842,0.0,0.0,0.0,0.0,0.0,0.8522557024333567,9,GB,11
36,Josh Allen,18.512965023982538,27.929834580225425,215.48144551406654,1.9313639998227974,1.0229875266149207,2.296634787643077,7.068878414468235,42.92947725798413,0.3310860211819709,0.0,0.0,0.0,0.0,0.9512878979788965,9,BUF,11
37,Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,16.83675408420729,69.88900970246993,1.6557967588207847,3.1073160951584513,2.757974918625376,29.890230470919143,0.0,0.13196974290595853,9,GB,11
38,Justin Herbert,28.75451285084152,41.968674191545674,294.29311257691495,2.0391776619823707,1.0848755337530913,2.6154635232994434,3.8675342644362667,25.639224805098728,0.0,0.0,0.0,0.0,0.0,0.10377334000576911,10,LAC,11
39,Kareem Hunt,0.0,0.0,0.0,0.0,0.0,0.0,6.891482946427126,28.29782127045287,0.4198915911770751,0.7865485221649116,0.7199727358842104,6.700986277117434,0.0,0.051886670002884556,10,KC,11
40,Kenny Pickett,3.1847436695106346,4.051629281347684,24.579187326383572,0.12280879501024866,0.050568327357161214,0.15170498207148364,1.2456175900204975,0.8741096586023581,0.07224046765308745,0.0,0.0,0.0,0.0,0.9277595323469126,3,LV,11
41,Kirk Cousins,5.863321547509995,8.438869245849991,40.94261474055493,0.14388692458499913,0.14388692458499913,0.4316607737549974,0.4316607737549974,0.0,0.0,0.0,0.0,0.0,0.0,0.14388692458499913,2,ATL,11
42,Kyren Williams,0.0,0.0,0.0,0.0,0.0,0.0,14.12786833240349,63.192308788800126,0.29564667995359145,3.8124387970493783,2.984836377084109,25.92677099876419,0.3766699950646722,0.25716425365861156,10,LAR,11
43,Mac Jones,24.059518811031484,35.85540170867516,258.4077379790012,0.7296580577477478,0.9792268617518172,2.4248015045598006,4.44986319989039,9.465583546327597,0.0,0.0,0.0,0.0,0.0,0.3729099641146158,8,SF,11
44,Mason Rudolph,3.8860177061036905,5.6259095910922605,38.98455925236345,0.2655004321111225,0.2819960210884408,0.29063656769560753,2.6926754749424986,2.510471541500437,0.0,0.0,0.0,0.0,0.0,0.07855042370151555,5,PIT,11
